Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2011,Lizard Fishes,,,,,,,2042,3786.0,603.0,167.0,1494.0,,,14.0,6064,8106,7,838.0,1195.0,0.0,9.0,
2011,Muraenesox spp.. (Eels),,1268.0,,,,,7076,0.0,,3416.0,1018.0,,,39.0,4473,11549,8,5503.0,25.0,207.0,,73.0
2011,Lactarius (Parava),,,,,,,4010,0.0,3528.0,5208.0,2261.0,1012.0,,,12009,16019,9,2875.0,201.0,0.0,518.0,416.0
2011,Leiognathus (Silver Bellies),,2652.0,,,,,46157,165551.0,4367.0,8721.0,808.0,1448.0,,59.0,180954,227111,10,4338.0,34053.0,490.0,3060.0,1564.0
2011,Sciaenidae (Croackers),,10271.0,,,,,63046,0.0,,,17247.0,572.0,,3015.0,20834,83880,11,10313.0,13570.0,27236.0,1014.0,642.0
2011,Upeneus spp.. (Goat Fish),,0.0,,,,,19022,18613.0,971.0,29960.0,9411.0,,70.0,,59025,78047,12,3555.0,15172.0,284.0,11.0,0.0
2011,Lates Sp. Lutjanus (Perches),,4763.0,,,,,56124,0.0,172.0,,476.0,,275.0,1311.0,2234,58358,13,7426.0,27656.0,10627.0,4010.0,1642.0
2011,Hemirhamphus spp.. (Half Beaks),,,,,,,5331,0.0,77.0,,432.0,,,24.0,533,5864,14,1850.0,2603.0,330.0,242.0,306.0
2011,Exocoetus (Flying Fish),,,,,,,4901,0.0,2220.0,2056.0,0.0,2820.0,15.0,4.0,7115,12016,15,251.0,4182.0,0.0,0.0,468.0
2011,Sphyraena spp. (Barracudas),,,,,,,8119,5433.0,570.0,1620.0,0.0,88.0,222.0,11.0,7944,16063,16,1339.0,3394.0,0.0,2616.0,770.0
2011,Mugilidae (Mullets),,5778.0,,,,,33326,3165.0,45.0,67.0,273.0,,,129.0,3679,37005,17,16401.0,2731.0,5577.0,1764.0,1075.0
2011,Polynemidae (Indian Salmon),,,,,,,6879,0.0,20808.0,26914.0,1719.0,,,369.0,49810,56689,18,2899.0,2006.0,1303.0,311.0,360.0
2011,Caranax spp.. (Kala Bangada),,,,,,,21440,0.0,,,7209.0,,,400.0,7609,29049,19,3109.0,14555.0,2226.0,0.0,1550.0
2011,Trachinotus spp..,,,,,,,6517,10890.0,6847.0,20379.0,0.0,655.0,,257.0,39028,45545,20,927.0,5590.0,0.0,0.0,0.0
2011,Carangidae (Bangada),,4421.0,,,,,18325,0.0,851.0,9411.0,0.0,978.0,,1058.0,12298,30623,21,1882.0,0.0,8100.0,3215.0,707.0
2011,Stromatidae (Butter Fish),,7136.0,,,,,20259,0.0,98436.0,152071.0,9919.0,23120.0,,1072.0,284618,304877,22,4104.0,2219.0,6800.0,0.0,
2011,Sardinella Indian Oil Sardine,,7169.0,,,,,59634,10941.0,5492.0,32034.0,48363.0,,,89.0,96919,156553,23,10077.0,34139.0,6380.0,0.0,1869.0
2011,Engraulidae (Anchovies),,3432.0,,,,,42219,10958.0,5766.0,14976.0,20589.0,4070.0,,2641.0,59000,101219,24,11700.0,17514.0,6500.0,2402.0,671.0
2011,Other Clupeids,,11485.0,,,,,55985,6962.0,400.0,247.0,1154.0,62.0,,421.0,9246,65231,25,9870.0,24793.0,5470.0,3458.0,909.0
2011,Chirocentrus spp.,,1983.0,,,,,12308,0.0,,,2809.0,376.0,,253.0,3438,15746,26,1114.0,8833.0,0.0,0.0,378.0
2011,Wahoo,,,,,,,318,0.0,,,0.0,,106.0,0.0,106,424,27,318.0,0.0,0.0,,
2011,Spanish Mackerels,,,,,,,7184,0.0,89.0,44510.0,0.0,,,521.0,45120,52304,28,7184.0,0.0,0.0,,
2011,King Mackerel (Indo-Pacific),,,,,,,2972,0.0,,,0.0,,,237.0,237,3209,29,2972.0,0.0,0.0,,
2011,Struooed Seerfish (Thazard Cirrus),,,,,,,2332,11409.0,5120.0,2510.0,8690.0,1844.0,,0.0,29573,31905,30,2332.0,0.0,0.0,,
2011,Seer Fish Scomberomorus spp.,,3282.0,,,,,25456,0.0,1213.0,,,,,166.0,1379,26835,31,7376.0,11611.0,240.0,867.0,2080.0
2011,Auxis Thazard Firgate & Bullet Tuna,,,,,,,6391,0.0,,,3966.0,,258.0,307.0,4531,10922,32,4553.0,0.0,,,1838.0
